PROJECTID,TESTNAME,comparison,n,beta,pval,effect_size_std,mean_diff_raw,beta_ci_low,beta_ci_high,effect_size_std_ci_low,effect_size_std_ci_high,qval_fdr_bh,gba_included,log_transform,pd_only,outlier_handling
105,GLT25D1,Non vs Predicted,376.0,10.533702488937443,0.4466650971609161,0.0925627205303873,17.432624113475185,,,,,0.9769534811301277,False,False,True,none
105,GLT25D1,Non vs RV,294.0,3.6534783727331615,0.9136927239718484,0.03210418159562141,14.195035460992926,,,,,0.9769534811301277,False,False,True,none
105,GLT25D1,Predicted vs RV,106.0,-6.880224116204282,0.8434180975122781,-0.060458538934765896,-3.237588652482259,,,,,0.9769534811301277,False,False,True,none
105,GUSB,Non vs Predicted,376.0,-2.62397196527617,0.6182678735012638,-0.060072680216359454,1.0141843971631204,,,,,0.9769534811301277,False,False,True,none
105,GUSB,Non vs RV,294.0,-10.890029798432382,0.396078812404713,-0.24931412617398493,-4.489361702127653,,,,,0.9769534811301277,False,False,True,none
105,GUSB,Predicted vs RV,106.0,-8.26605783315621,0.532931438973217,-0.1892414459576255,-5.503546099290773,,,,,0.9769534811301277,False,False,True,none
105,MON1B,Non vs Predicted,376.0,2.2828022309534726,0.7557942956039392,0.037714678475304145,6.078014184397148,,,,,0.9769534811301277,False,False,True,none
105,MON1B,Non vs RV,294.0,1.1611569581989691,0.9482215289017561,0.019183729866756084,8.141843971631204,,,,,0.9769534811301277,False,False,True,none
105,MON1B,Predicted vs RV,106.0,-1.1216452727545034,0.9515910794820182,-0.01853094860854806,2.063829787234056,,,,,0.9769534811301277,False,False,True,none
105,RPL13,Non vs Predicted,376.0,14.0456455476326,0.5714371704635752,0.0691143312630387,18.517730496453908,,,,,0.9769534811301277,False,False,True,none
105,RPL13,Non vs RV,294.0,-7.342707808211024,0.9033203031981492,-0.03613122217155061,-8.645390070921962,,,,,0.9769534811301277,False,False,True,none
105,RPL13,Predicted vs RV,106.0,-21.388353355843623,0.7320538287289335,-0.10524555343458931,-27.16312056737587,,,,,0.9769534811301277,False,False,True,none
105,SRCAP,Non vs Predicted,376.0,-1.576465081223791,0.9085105350759898,-0.013984221017091583,4.695035460992926,,,,,0.9769534811301277,False,False,True,none
105,SRCAP,Non vs RV,294.0,-20.43525014958122,0.5409838638428248,-0.181273317141588,-9.042553191489333,,,,,0.9769534811301277,False,False,True,none
105,SRCAP,Predicted vs RV,106.0,-18.858785068357427,0.5850587610982622,-0.16728909612449644,-13.737588652482259,,,,,0.9769534811301277,False,False,True,none
105,UBC,Non vs Predicted,376.0,960.3477111367024,0.3549849536501449,0.11199925932592604,1555.7021276595733,,,,,0.9769534811301277,False,False,True,none
105,UBC,Non vs RV,294.0,2991.6745435547987,0.23706281184397068,0.3489000172924533,3812.3226950354583,,,,,0.9769534811301277,False,False,True,none
105,UBC,Predicted vs RV,106.0,2031.3268324180963,0.4369555116831324,0.23690075796652726,2256.620567375885,,,,,0.9769534811301277,False,False,True,none
105,DHPR,Non vs Predicted,376.0,4.605103868079338,0.28401443170334756,0.13065217547193997,5.581560283687949,,,,,0.9769534811301277,False,False,True,none
105,DHPR,Non vs RV,294.0,1.608473292018136,0.8778344673013269,0.04563426598200476,1.6453900709219909,,,,,0.9769534811301277,False,False,True,none
105,DHPR,Predicted vs RV,106.0,-2.996630576061202,0.781675440241189,-0.0850179094899352,-3.9361702127659584,,,,,0.9769534811301277,False,False,True,none
